System,Model,Group,DataSource,λ_est,λ_lit,ECE,NLL(h=1),NLL(h=20),RMSE(h=1),RMSE(h=20),LCS,CovGap,PQ,MA,ER,ID,FC,EU,AB,FINAL_total
Rössler,NormFlowEns,G,RK4 integration (reproducible benchmark),0.0826,0.071,0.3353,0.5147,0.5672,0.1653,0.2684,-0.0211,N/A,0.8347,0.4894,0.6647,0.8971,0.7316,1.0,0.6,0.722
Rössler,SelectivePredictor,H,RK4 integration (reproducible benchmark),0.0826,0.071,0.4607,76.6608,1335.6352,0.1196,0.4896,0.9365,N/A,0.8804,0.9682,0.5393,0.0,0.5104,1.0,0.9475,0.6304
Van der Pol,DE,A,RK4 integration (reproducible benchmark),-0.0378,0.0,0.2325,-0.0604,4.9366,0.0232,0.0307,N/A,N/A,0.9768,0.5,0.7675,0.9879,0.9693,1.0,0.6,0.8139
Van der Pol,SnapshotEns,A,RK4 integration (reproducible benchmark),-0.0378,0.0,0.14,-0.1629,-1.2376,0.0425,0.067,N/A,N/A,0.9575,0.5,0.86,0.9674,0.933,1.0,0.6,0.821
Van der Pol,BayesLSTM,B,RK4 integration (reproducible benchmark),-0.0378,0.0,0.3168,-1.1689,-1.178,0.036,0.0361,N/A,N/A,0.964,0.5,0.6832,0.7662,0.9639,1.0,0.6,0.7548
Van der Pol,EDL,B,RK4 integration (reproducible benchmark),-0.0378,0.0,0.4563,0.534,0.7658,0.0445,0.1766,N/A,N/A,0.9555,0.5,0.5437,0.8932,0.8234,0.1291,0.6,0.658
Van der Pol,MDN,B,RK4 integration (reproducible benchmark),-0.0378,0.0,0.2768,-0.9517,-1.3118,0.048,0.154,N/A,N/A,0.952,0.5,0.7232,0.8097,0.846,1.0,0.6,0.7515
Van der Pol,DKL,C,RK4 integration (reproducible benchmark),-0.0378,0.0,0.2982,1.8315,2.2836,0.0201,0.021,N/A,N/A,0.9799,0.5,0.7018,0.6337,0.979,1.0,0.6,0.7389
Van der Pol,SNGP,C,RK4 integration (reproducible benchmark),-0.0378,0.0,0.4089,0.2626,0.5916,0.1509,0.1603,N/A,N/A,0.8491,0.5,0.5911,0.9475,0.8397,1.0,0.6,0.7366
Van der Pol,ConformalNN,D,RK4 integration (reproducible benchmark),-0.0378,0.0,0.2362,-1.8187,-1.1228,0.0298,0.0422,N/A,0.0584,0.9702,0.5,0.7638,0.6363,0.9578,1.0,0.6,0.7474
